stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding
100,100,"Ithaca Commons - Seneca St",,42.4405021667,-76.496506,,,0,,0
103,103,"Tioga @ Court",,42.4425735474,-76.496895,,,0,,0
105,105,"Court @ Linn",,42.4431152344,-76.494507,,,0,,0
107,107,"Cayuga @ Buffalo",,42.4412269592,-76.499046,,,0,,0
108,108,"Cayuga @ Buffalo",,42.4414024353,-76.499176,,,0,,0
110,110,"Geneva @ State/MLK",,42.4395828247,-76.500801,,,0,,0
1111,1111,"University @ Cornell Ave",,42.4471321106,-76.493027,,,0,,0
1113,1113,"University @ Lake",,42.4495506287,-76.492081,,,0,,0
1119,1119,"Auden Ithaca",,42.4509887695,-76.493675,,,0,,0
112,112,"Albany at Salvation Army",,42.4398803711,-76.501778,,,0,,0
1120,1120,"Auden Ithaca",,42.451084137,-76.493645,,,0,,0
1121,1121,"Lake @ Falls",,42.4528427124,-76.494621,,,0,,0
1122,1122,"Lake @ Lincoln",,42.4522705078,-76.49472,,,0,,0
1123,1123,"Falls @ Lake",,42.4528388977,-76.494843,,,0,,0
1124,1124,"Falls @ Lake",,42.4529342651,-76.494896,,,0,,0
1125,1125,"Lake St at Ithaca High School",,42.4551811218,-76.496002,,,0,,0
1126,1126,"Lake St at Ithaca High School",,42.4551620483,-76.496094,,,0,,0
1129,1129,"Lake St at Boynton Middle School",,42.4608535767,-76.497299,,,0,,0
113,113,"Seneca @ Albany",,42.4403915405,-76.501617,,,0,,0
1130,1130,"Lake St at Boynton Middle School",,42.4608268738,-76.497368,,,0,,0
1137,1137,"East Shore @ James L. Gibbs",,42.463848114,-76.498863,,,0,,0
1138,1138,"East Shore @ James L. Gibbs",,42.4640159607,-76.499168,,,0,,0
1143,1143,"Stewart Park Entrance",,42.4627113342,-76.500809,,,0,,0
115,115,"State/MLK @ Albany",,42.4393997192,-76.501869,,,0,,0
127,127,"State/MLK @ Plain",,42.4393463135,-76.504135,,,0,,0
128,128,"State/MLK @ Plain",,42.4394340515,-76.503761,,,0,,0
1301,1301,"Thurston @ Stewart",,42.4546508789,-76.490387,,,0,,0
1307,1307,"Thurston @ Barton",,42.4537582397,-76.488167,,,0,,0
1309,1309,"Thurston @ Highland",,42.4536323547,-76.486359,,,0,,0
1310,1310,"Highland @ Thurston",,42.4538459778,-76.486504,,,0,,0
1311,1311,"Highland @ Thurston",,42.4539260864,-76.486465,,,0,,0
1314,1314,"Highland @ Wyckoff",,42.4563179016,-76.486115,,,0,,0
1315,1315,"Highland @ Wyckoff",,42.4563941956,-76.485985,,,0,,0
1316,1316,"Highland @ Lakeland",,42.4584503174,-76.486519,,,0,,0
1317,1317,"Highland @ Lakeland",,42.4584083557,-76.486382,,,0,,0
1323,1323,"Risley Hall - Front",,42.4534225464,-76.481499,,,0,,0
1325,1325,"Thurston at Balch Hall",,42.4529571533,-76.480995,,,0,,0
1326,1326,"Risley Hall - Shelter",,42.4522438049,-76.481293,,,0,,0
1327,1327,"Cradit Farm @ Thurston",,42.4524726868,-76.480713,,,0,,0
1328,1328,"Cradit Farm at Balch Hall",,42.4528656006,-76.47937,,,0,,0
1329,1329,"Helen Newman Hall",,42.4532203674,-76.477264,,,0,,0
133,133,"McGraw House",,42.4377326965,-76.500595,,,0,,0
1330,1330,"Appel Commons",,42.4532546997,-76.477318,,,0,,0
1331,1331,"Cradit Farm @ Pleasant Grove",,42.4552993774,-76.473724,,,0,,0
134,134,"McGraw House",,42.4377326965,-76.50071,,,0,,0
1342,1342,"Northcross @ Jessup",,42.4569778442,-76.478416,,,0,,0
1343,1343,"Robert Purcell Community Center",,42.4566345215,-76.476936,,,0,,0
1344,1344,"Robert Purcell Community Center",,42.456741333,-76.477135,,,0,,0
1345,1345,"Jessup @ Pleasant Grove",,42.4567337036,-76.474564,,,0,,0
1346,1346,"Jessup @ Pleasant Grove",,42.456817627,-76.474648,,,0,,0
1347,1347,"Pleasant Grove @ Jessup",,42.456741333,-76.47403,,,0,,0
1348,1348,"Pleasant Grove @ Jessup",,42.4569244385,-76.474319,,,0,,0
1349,1349,"Hasbrouck Apts",,42.4563407898,-76.471642,,,0,,0
135,135,"Green @ Fayette",,42.4384613037,-76.502815,,,0,,0
1351,1351,"A Lot - Upper Stop",,42.4581108093,-76.475403,,,0,,0
1353,1353,"A Lot - Lower Stop",,42.458026886,-76.47728,,,0,,0
1355,1355,"Jessup @ Triphammer",,42.4563674927,-76.48082,,,0,,0
1356,1356,"Jessup @ Triphammer",,42.4564056396,-76.48101,,,0,,0
1357,1357,"Triphammer @ Jessup",,42.4562149048,-76.481216,,,0,,0
1358,1358,"Triphammer @ Dearborn",,42.4563751221,-76.481369,,,0,,0
1360,1360,"Triphammer @ Country Club Rd",,42.4583892822,-76.482224,,,0,,0
1361,1361,"Triphammer @ Country Club Rd",,42.4584083557,-76.482086,,,0,,0
1362,1362,"Triphammer @ Oak Hill",,42.4606208801,-76.482162,,,0,,0
1363,1363,"Triphammer @ Oak Hill",,42.460395813,-76.481873,,,0,,0
1367,1367,"Triphammer @ Iroquois",,42.462852478,-76.483383,,,0,,0
1368,1368,"Triphammer @ Iroquois",,42.4631156921,-76.483597,,,0,,0
1371,1371,"Northway @ Triphammer",,42.4663200378,-76.48436,,,0,,0
1372,1372,"Triphammer @ Northway",,42.4665527344,-76.484207,,,0,,0
1373,1373,"Triphammer @ Northway",,42.4663391113,-76.484116,,,0,,0
1375,1375,"The Parkway @ Upland",,42.4636268616,-76.486542,,,0,,0
1376,1376,"The Parkway @ Upland",,42.4637985229,-76.486687,,,0,,0
1377,1377,"The Parkway @ Northway",,42.4651451111,-76.48671,,,0,,0
1378,1378,"Northway @ The Parkway",,42.4653930664,-76.486671,,,0,,0
1508,1508,"University @ Stewart",,42.449306488,-76.490227,,,0,,0
1511,1511,"Boldt Hall",,42.4492378235,-76.488693,,,0,,0
1512,1512,"Baker Flagpole  - Slope Side",,42.4475440979,-76.487564,,,0,,0
1513,1513,"Baker Flagpole",,42.4475326538,-76.487709,,,0,,0
1520,1520,"Milstein Hall",,42.451385498,-76.483688,,,0,,0
1521,1521,"Milstein Hall",,42.4513549805,-76.483688,,,0,,0
1524,1524,"Goldwin Smith Hall",,42.4498405457,-76.482941,,,0,,0
1525,1525,"Rockefeller Hall",,42.4496002197,-76.482788,,,0,,0
1530,1530,"Anabel Taylor Hall",,42.4447898865,-76.485138,,,0,,0
1531,1531,"Carpenter Hall",,42.4448890686,-76.484993,,,0,,0
1533,1533,"Statler Hall",,42.4460334778,-76.48259,,,0,,0
1534,1534,"Sage Hall",,42.445350647,-76.482689,,,0,,0
1535,1535,"Campus @ Gates Hall",,42.4452171326,-76.480431,,,0,,0
1536,1536,"Hoy @ Hoy Field",,42.4444999695,-76.481598,,,0,,0
1540,1540,"Uris Hall Across Street",,42.4475898743,-76.482399,,,0,,0
1541,1541,"Uris Hall",,42.4475250244,-76.482079,,,0,,0
1542,1542,"Kennedy Hall",,42.4476242065,-76.479439,,,0,,0
1543,1543,"Corson/Mudd Hall",,42.4475402832,-76.479324,,,0,,0
1544,1544,"Bradfield Hall",,42.447593689,-76.475822,,,0,,0
1545,1545,"Bradfield Hall Across Street",,42.4475326538,-76.475578,,,0,,0
1546,1546,"Dairy Bar Across Street",,42.4475746155,-76.471359,,,0,,0
1547,1547,"Dairy Bar",,42.4475097656,-76.471199,,,0,,0
1549,1549,"Garden@Tower",,42.4473876953,-76.479691,,,0,,0
1553,1553,"Boyce Thompson Institute",,42.4474906921,-76.467636,,,0,,0
1555,1555,"Vet School",,42.4473114014,-76.466805,,,0,,0
1556,1556,"Vet Medical Center",,42.4463729858,-76.464867,,,0,,0
1557,1557,"Vet Medical Center",,42.4463005066,-76.464821,,,0,,0
1562,1562,"Campus @ Tower",,42.4458312988,-76.466187,,,0,,0
1564,1564,"Campus @ Judd Falls",,42.4453887939,-76.469337,,,0,,0
165,165,"Ithaca Commons - Green St",,42.4386177063,-76.497658,,,0,,0
1701,1701,"State/MLK @ Stewart",,42.4392471313,-76.490463,,,0,,0
1702,1702,"State/MLK @ Stewart",,42.4393386841,-76.490433,,,0,,0
1703,1703,"State/MLK @ Quarry",,42.4386787415,-76.488632,,,0,,0
1704,1704,"State/MLK @ Quarry",,42.4386672974,-76.488419,,,0,,0
1708,1708,"State/MLK @ Giles",,42.432598114,-76.478142,,,0,,0
1709,1709,"State/MLK @ Cornell",,42.4326896667,-76.478127,,,0,,0
171,171,"Aurora @ State/MLK",,42.4392738342,-76.495399,,,0,,0
1710,1710,"College @ Mitchell",,42.4377708435,-76.48513,,,0,,0
1711,1711,"College @ Mitchell",,42.4378318787,-76.485023,,,0,,0
1712,1712,"Mitchell @ College",,42.4377174377,-76.484932,,,0,,0
1713,1713,"Mitchell @ College",,42.4376068115,-76.484871,,,0,,0
1715,1715,"Collegetown Crossing",,42.4406394958,-76.485153,,,0,,0
1716,1716,"Schwartz Performing Arts Center",,42.4425582886,-76.485336,,,0,,0
1719,1719,"College @ Oak",,42.4423713684,-76.485214,,,0,,0
172,172,"Ithaca Commons - Aurora St",,42.4392356873,-76.495552,,,0,,0
1721,1721,"Stewart @ Seneca",,42.4405899048,-76.489723,,,0,,0
1722,1722,"Stewart @ Seneca",,42.4407577515,-76.489799,,,0,,0
1725,1725,"Stewart @ Williams",,42.4426193237,-76.489769,,,0,,0
1726,1726,"Stewart @ Williams",,42.4425430298,-76.489906,,,0,,0
1746,1746,"Ithaca @ Elmwood",,42.4394493103,-76.478958,,,0,,0
1747,1747,"Ithaca @ Elmwood",,42.4393386841,-76.478912,,,0,,0
1751,1751,"Humphreys Service Building",,42.4422454834,-76.476654,,,0,,0
1752,1752,"Humphreys Service Building",,42.4423599243,-76.476662,,,0,,0
1753,1753,"Maple @ Veterans - Maplewood Apts",,42.4411849976,-76.475128,,,0,,0
1754,1754,"Maple @ Veterans - Maplewood Apts",,42.4412841797,-76.474976,,,0,,0
1758,1758,"Ithaca East Apts",,42.4413566589,-76.47187,,,0,,0
1767,1767,"Pine Tree at East Hill Plaza",,42.4375762939,-76.46508,,,0,,0
1768,1768,"Pine Tree at East Hill Plaza",,42.4376068115,-76.465248,,,0,,0
